Categoria: Tutte le categorie

Settimana,Amazon.it: (Tutto il mondo),Netflix: (Tutto il mondo),Zoom: (Tutto il mondo)
2017-12-10,88,21,1
2017-12-17,84,24,1
2017-12-24,75,29,1
2017-12-31,66,28,1
2018-01-07,63,24,1
2018-01-14,64,24,1
2018-01-21,64,25,1
2018-01-28,62,23,1
2018-02-04,61,22,1
2018-02-11,58,22,1
2018-02-18,58,22,1
2018-02-25,61,23,1
2018-03-04,60,23,1
2018-03-11,58,22,1
2018-03-18,61,23,1
2018-03-25,57,24,1
2018-04-01,59,24,1
2018-04-08,53,22,1
2018-04-15,54,23,1
2018-04-22,58,22,1
2018-04-29,56,23,1
2018-05-06,56,20,1
2018-05-13,56,22,1
2018-05-20,57,25,1
2018-05-27,58,23,1
2018-06-03,56,22,1
2018-06-10,57,23,1
2018-06-17,55,21,1
2018-06-24,55,21,1
2018-07-01,55,20,1
2018-07-08,57,23,1
2018-07-15,76,21,1
2018-07-22,60,23,1
2018-07-29,59,24,1
2018-08-05,58,22,1
2018-08-12,59,22,1
2018-08-19,58,23,1
2018-08-26,58,23,1
2018-09-02,63,22,1
2018-09-09,57,22,1
2018-09-16,58,22,1
2018-09-23,58,20,1
2018-09-30,55,21,1
2018-10-07,63,22,1
2018-10-14,58,23,1
2018-10-21,61,23,1
2018-10-28,62,25,1
2018-11-04,64,21,1
2018-11-11,70,21,1
2018-11-18,91,22,1
2018-11-25,83,22,1
2018-12-02,76,24,1
2018-12-09,79,23,1
2018-12-16,77,23,1
2018-12-23,66,35,< 1
2018-12-30,66,36,1
2019-01-06,63,31,1
2019-01-13,61,30,1
2019-01-20,60,28,1
2019-01-27,57,28,1
2019-02-03,56,25,1
2019-02-10,57,24,1
2019-02-17,56,25,1
2019-02-24,53,22,1
2019-03-03,55,23,1
2019-03-10,55,24,1
2019-03-17,53,22,1
2019-03-24,55,22,1
2019-03-31,58,22,1
2019-04-07,55,22,1
2019-04-14,57,24,1
2019-04-21,57,23,1
2019-04-28,57,23,1
2019-05-05,57,22,1
2019-05-12,57,21,1
2019-05-19,58,22,1
2019-05-26,57,24,1
2019-06-02,60,23,1
2019-06-09,59,23,1
2019-06-16,60,24,1
2019-06-23,63,22,1
2019-06-30,59,24,1
2019-07-07,63,25,1
2019-07-14,81,26,1
2019-07-21,63,27,1
2019-07-28,62,25,1
2019-08-04,61,24,1
2019-08-11,62,25,1
2019-08-18,67,24,1
2019-08-25,61,24,1
2019-09-01,63,23,1
2019-09-08,65,23,1
2019-09-15,64,25,1
2019-09-22,66,23,1
2019-09-29,72,23,1
2019-10-06,64,23,1
2019-10-13,66,24,1
2019-10-20,68,23,1
2019-10-27,66,24,1
2019-11-03,69,24,1
2019-11-10,71,24,1
2019-11-17,82,25,1
2019-11-24,100,23,1
2019-12-01,95,23,1
2019-12-08,84,23,1
2019-12-15,87,29,1
2019-12-22,77,34,1
2019-12-29,73,37,1
2020-01-05,67,32,1
2020-01-12,67,28,1
2020-01-19,67,28,1
2020-01-26,66,28,1
2020-02-02,67,27,1
2020-02-09,63,26,1
2020-02-16,65,26,1
2020-02-23,63,27,1
2020-03-01,66,25,2
2020-03-08,67,26,4
2020-03-15,79,44,16
2020-03-22,79,50,28
2020-03-29,84,54,37
2020-04-05,84,49,33
2020-04-12,86,46,30
2020-04-19,85,44,30
2020-04-26,88,44,25
2020-05-03,85,42,24
2020-05-10,83,38,22
2020-05-17,86,36,19
2020-05-24,82,35,16
2020-05-31,80,33,16
2020-06-07,80,34,14
2020-06-14,75,32,13
2020-06-21,77,34,11
2020-06-28,78,35,11
2020-07-05,78,31,11
2020-07-12,77,33,11
2020-07-19,78,32,10
2020-07-26,74,31,10
2020-08-02,76,31,10
2020-08-09,73,29,11
2020-08-16,74,32,14
2020-08-23,72,31,16
2020-08-30,73,29,16
2020-09-06,72,33,16
2020-09-13,74,31,15
2020-09-20,70,30,15
2020-09-27,69,28,13
2020-10-04,72,29,13
2020-10-11,89,27,11
2020-10-18,77,28,11
2020-10-25,74,30,10
2020-11-01,70,27,10
2020-11-08,84,29,10
2020-11-15,89,29,11
2020-11-22,99,29,10
2020-11-29,93,30,10
2020-12-06,94,31,10
2020-12-13,90,29,10
2020-12-20,81,35,8
2020-12-27,83,39,6
2021-01-03,75,35,9
2021-01-10,72,33,10
2021-01-17,74,34,10
2021-01-24,73,31,10
2021-01-31,72,32,11
2021-02-07,70,30,10
2021-02-14,68,33,10
2021-02-21,66,29,10
2021-02-28,64,28,9
2021-03-07,72,28,9
2021-03-14,64,26,8
2021-03-21,67,27,8
2021-03-28,68,29,7
2021-04-04,66,29,8
2021-04-11,65,28,9
2021-04-18,66,27,8
2021-04-25,66,28,8
2021-05-02,63,28,8
2021-05-09,67,28,8
2021-05-16,63,27,8
2021-05-23,63,27,8
2021-05-30,65,27,7
2021-06-06,64,26,7
2021-06-13,61,25,7
2021-06-20,70,27,6
2021-06-27,60,28,6
2021-07-04,62,29,6
2021-07-11,62,27,6
2021-07-18,62,27,6
2021-07-25,62,26,5
2021-08-01,60,25,6
2021-08-08,60,27,5
2021-08-15,61,27,6
2021-08-22,61,26,6
2021-08-29,61,29,7
2021-09-05,62,25,7
2021-09-12,62,25,7
2021-09-19,61,28,7
2021-09-26,61,29,6
2021-10-03,66,29,6
2021-10-10,64,30,6
2021-10-17,66,29,6
2021-10-24,65,26,6
2021-10-31,67,27,5
2021-11-07,68,27,5
2021-11-14,70,25,5
2021-11-21,81,26,5
2021-11-28,78,26,5
2021-12-05,76,26,5
2021-12-12,81,28,5
2021-12-19,70,29,4
2021-12-26,69,35,3
2022-01-02,71,37,5
2022-01-09,64,35,7
2022-01-16,65,31,7
2022-01-23,61,32,7
2022-01-30,65,32,7
2022-02-06,66,30,7
2022-02-13,62,29,6
2022-02-20,60,27,6
2022-02-27,60,28,5
2022-03-06,59,27,5
2022-03-13,57,27,5
2022-03-20,59,27,5
2022-03-27,60,25,5
2022-04-03,59,26,5
2022-04-10,56,28,4
2022-04-17,57,30,5
2022-04-24,60,27,5
2022-05-01,60,25,4
2022-05-08,58,24,5
2022-05-15,54,25,5
2022-05-22,56,25,5
2022-05-29,58,26,4
2022-06-05,57,26,4
2022-06-12,64,26,4
2022-06-19,63,28,5
2022-06-26,62,27,4
2022-07-03,64,27,4
2022-07-10,78,27,4
2022-07-17,65,30,4
2022-07-24,63,28,4
2022-07-31,61,27,4
2022-08-07,66,28,4
2022-08-14,60,28,4
2022-08-21,62,28,4
2022-08-28,65,25,4
2022-09-04,63,26,4
2022-09-11,62,25,5
2022-09-18,65,27,4
2022-09-25,67,31,4
2022-10-02,64,28,4
2022-10-09,71,27,4
2022-10-16,65,27,4
2022-10-23,62,27,4
2022-10-30,65,28,4
2022-11-06,66,25,4
2022-11-13,74,25,4
2022-11-20,80,26,4
2022-11-27,82,26,4
