Categoria: Tutte le categorie

Settimana,Zoom: (Tutto il mondo)
2017-12-10,2
2017-12-17,2
2017-12-24,2
2017-12-31,2
2018-01-07,2
2018-01-14,2
2018-01-21,2
2018-01-28,2
2018-02-04,2
2018-02-11,2
2018-02-18,2
2018-02-25,2
2018-03-04,2
2018-03-11,2
2018-03-18,2
2018-03-25,2
2018-04-01,2
2018-04-08,2
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,2
2018-06-10,2
2018-06-17,2
2018-06-24,2
2018-07-01,2
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,2
2018-10-07,2
2018-10-14,2
2018-10-21,2
2018-10-28,2
2018-11-04,2
2018-11-11,2
2018-11-18,3
2018-11-25,2
2018-12-02,2
2018-12-09,2
2018-12-16,2
2018-12-23,1
2018-12-30,2
2019-01-06,2
2019-01-13,2
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,2
2019-06-23,2
2019-06-30,2
2019-07-07,3
2019-07-14,2
2019-07-21,2
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,3
2019-09-22,2
2019-09-29,2
2019-10-06,2
2019-10-13,2
2019-10-20,2
2019-10-27,2
2019-11-03,2
2019-11-10,2
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,2
2019-12-15,2
2019-12-22,2
2019-12-29,2
2020-01-05,2
2020-01-12,3
2020-01-19,2
2020-01-26,3
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,4
2020-03-01,4
2020-03-08,10
2020-03-15,43
2020-03-22,76
2020-03-29,100
2020-04-05,90
2020-04-12,83
2020-04-19,82
2020-04-26,70
2020-05-03,66
2020-05-10,61
2020-05-17,52
2020-05-24,44
2020-05-31,42
2020-06-07,38
2020-06-14,35
2020-06-21,31
2020-06-28,29
2020-07-05,30
2020-07-12,31
2020-07-19,28
2020-07-26,26
2020-08-02,29
2020-08-09,31
2020-08-16,37
2020-08-23,44
2020-08-30,44
2020-09-06,43
2020-09-13,41
2020-09-20,42
2020-09-27,35
2020-10-04,34
2020-10-11,29
2020-10-18,30
2020-10-25,28
2020-11-01,27
2020-11-08,29
2020-11-15,31
2020-11-22,29
2020-11-29,28
2020-12-06,27
2020-12-13,27
2020-12-20,21
2020-12-27,16
2021-01-03,23
2021-01-10,27
2021-01-17,27
2021-01-24,27
2021-01-31,29
2021-02-07,27
2021-02-14,27
2021-02-21,27
2021-02-28,25
2021-03-07,24
2021-03-14,22
2021-03-21,23
2021-03-28,19
2021-04-04,22
2021-04-11,24
2021-04-18,23
2021-04-25,22
2021-05-02,21
2021-05-09,22
2021-05-16,21
2021-05-23,21
2021-05-30,19
2021-06-06,20
2021-06-13,18
2021-06-20,17
2021-06-27,16
2021-07-04,16
2021-07-11,17
2021-07-18,16
2021-07-25,14
2021-08-01,15
2021-08-08,15
2021-08-15,16
2021-08-22,17
2021-08-29,19
2021-09-05,20
2021-09-12,19
2021-09-19,18
2021-09-26,17
2021-10-03,17
2021-10-10,16
2021-10-17,15
2021-10-24,16
2021-10-31,14
2021-11-07,15
2021-11-14,15
2021-11-21,14
2021-11-28,14
2021-12-05,14
2021-12-12,14
2021-12-19,11
2021-12-26,8
2022-01-02,14
2022-01-09,19
2022-01-16,19
2022-01-23,19
2022-01-30,18
2022-02-06,18
2022-02-13,17
2022-02-20,15
2022-02-27,15
2022-03-06,14
2022-03-13,14
2022-03-20,14
2022-03-27,13
2022-04-03,15
2022-04-10,12
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,14
2022-05-15,13
2022-05-22,13
2022-05-29,12
2022-06-05,12
2022-06-12,12
2022-06-19,12
2022-06-26,11
2022-07-03,10
2022-07-10,12
2022-07-17,12
2022-07-24,11
2022-07-31,11
2022-08-07,10
2022-08-14,11
2022-08-21,12
2022-08-28,12
2022-09-04,12
2022-09-11,13
2022-09-18,12
2022-09-25,12
2022-10-02,11
2022-10-09,12
2022-10-16,11
2022-10-23,11
2022-10-30,11
2022-11-06,12
2022-11-13,12
2022-11-20,10
2022-11-27,11
